geo_id,geo_name,period,rpt_n,rpt_n_n,rpt_n_flags,rpt_per_mi,rpt_per_mi_n,rpt_per_mi_flags,close_p50_d,close_p50_d_n,close_p50_d_flags,rpt_patched_share,rpt_patched_share_n,rpt_patched_share_flags,fill_per_mi,fill_per_mi_n,fill_per_mi_flags
1,Rogers Park,CY2025,339,339,,9.11,339,,7.2,339,,,333,COHORT_OPEN,100.93,407,
2,West Ridge,CY2025,455,455,,6.11,455,,7.8,455,,,448,COHORT_OPEN,60.18,517,
3,Uptown,CY2025,341,341,,8.57,335,,9.0,341,,0.8765,340,,89.55,382,
4,Lincoln Square,CY2025,402,402,,8.68,402,,5.2,402,,0.7736,402,,70.47,373,
5,North Center,CY2025,416,416,,9.33,416,,9.2,416,,0.7942,413,,85.29,467,
6,Lake View,CY2025,551,551,,8.04,549,,9.9,551,,0.8150,546,,68.92,608,
7,Lincoln Park,CY2025,662,662,,10.59,659,,9.8,662,,0.7549,661,,104.54,724,
8,Near North Side,CY2025,489,489,,7.61,462,,9.9,489,,0.6016,487,,43.42,559,
9,Edison Park,CY2025,147,147,,5.43,147,,25.0,147,,0.8163,147,,73.10,219,
10,Norwood Park,CY2025,512,512,,5.42,510,,45.8,512,,,502,COHORT_OPEN,75.91,702,
11,Jefferson Park,CY2025,273,273,,5.31,258,,56.9,273,,,262,COHORT_OPEN,46.97,324,
12,Forest Glen,CY2025,348,348,,5.87,346,,29.9,348,,0.5891,348,,67.27,396,
13,North Park,CY2025,291,291,,9.47,289,,14.0,291,,0.7629,291,,91.41,291,
14,Albany Park,CY2025,431,431,,9.86,431,,33.8,431,,0.6349,430,,71.75,388,
15,Portage Park,CY2025,572,572,,6.47,571,,36.0,572,,0.7690,567,,53.17,704,
16,Irving Park,CY2025,487,487,,6.99,480,,40.8,487,,0.7654,486,,66.46,591,
17,Dunning,CY2025,304,304,,4.08,304,,39.0,304,,,295,COHORT_OPEN,51.74,466,
18,Montclare,CY2025,135,135,,6.72,135,,42.1,135,,0.6148,135,,72.03,153,
19,Belmont Cragin,CY2025,496,496,,6.11,496,,47.9,496,,0.7652,494,,56.26,543,
20,Hermosa,CY2025,127,127,,5.11,127,,50.9,127,,0.8110,127,,39.98,154,
21,Avondale,CY2025,246,246,,5.85,239,,28.3,246,,0.7664,244,,71.69,415,
22,Logan Square,CY2025,531,531,,6.29,513,,32.6,531,,0.7240,529,,57.01,552,
23,Humboldt Park,CY2025,278,278,,3.90,278,,52.2,278,,0.6691,278,,26.22,265,
24,West Town,CY2025,784,784,,7.60,775,,27.9,784,,0.7829,783,,52.54,777,
25,Austin,CY2025,542,542,,3.94,539,,44.9,542,,0.6197,539,,29.45,519,
26,West Garfield Park,CY2025,129,129,,4.21,126,,69.7,129,,0.6250,128,,26.13,113,
27,East Garfield Park,CY2025,165,165,,3.79,157,,40.5,165,,,163,COHORT_OPEN,19.32,116,
28,Near West Side,CY2025,660,660,,5.59,628,,32.1,660,,0.5652,660,,43.48,773,
29,North Lawndale,CY2025,214,214,,3.15,214,,50.8,214,,0.5446,213,,21.03,175,
30,South Lawndale,CY2025,289,289,,4.55,283,,22.4,289,,0.6829,287,,46.99,388,
31,Lower West Side,CY2025,238,238,,5.08,233,,31.8,238,,0.6245,237,,46.51,332,
32,Loop,CY2025,333,333,,9.69,330,,5.9,333,,0.5121,330,,65.71,471,
33,Near South Side,CY2025,129,129,,4.54,121,,15.9,129,,0.6172,128,,62.60,173,
34,Armour Square,CY2025,93,93,,4.60,84,,13.0,93,,0.6882,93,,64.92,111,
35,Douglas,CY2025,50,50,,1.56,49,,19.4,50,,0.5400,50,,37.85,104,EXTREME_FILL
36,Oakland,CY2025,39,39,,3.48,39,,48.8,39,,0.8205,39,,58.75,55,
37,Fuller Park,CY2025,46,46,,3.42,45,,8.9,46,,0.7174,46,,54.00,71,
38,Grand Boulevard,CY2025,97,97,,2.51,97,,31.7,97,,0.5567,97,,26.37,124,
39,Kenwood,CY2025,64,64,,3.37,62,,16.4,64,,0.6875,64,,81.55,93,
40,Washington Park,CY2025,82,82,,3.28,82,,27.1,82,,0.6098,82,,63.12,128,
41,Hyde Park,CY2025,144,144,,4.72,144,,16.8,144,,0.5764,144,,72.39,174,
42,Woodlawn,CY2025,180,180,,4.77,180,,17.8,180,,0.5419,179,,70.37,219,
43,South Shore,CY2025,283,283,,4.29,283,,9.9,283,,0.6784,283,,69.55,366,
44,Chatham,CY2025,210,210,,3.65,209,,8.1,210,,0.7905,210,,76.01,320,
45,Avalon Park,CY2025,60,60,,2.07,56,,6.8,60,,0.7000,60,,33.53,83,
46,South Chicago,CY2025,217,217,,4.11,217,,7.8,217,,0.7327,217,,77.48,283,
47,Burnside,CY2025,33,33,,4.06,33,,6.9,33,,0.7273,33,,143.63,47,EXTREME_FILL
48,Calumet Heights,CY2025,138,138,,3.61,133,,5.9,138,,0.6087,138,,53.84,158,
49,Roseland,CY2025,267,267,,2.68,265,,6.0,267,,0.7030,266,,66.00,535,
50,Pullman,CY2025,35,35,,1.50,31,,6.7,35,,0.4857,35,,77.59,123,EXTREME_FILL
