geo_type,geo_id,street_mi,pop2020,poverty_rate,lep_hh_share,broadband_hh_share,pct_hispanic,pct_nh_black,pct_nh_white,pct_nh_asian,acs_vintage,centerline_rows_updated
city,CHI,3950.4391,2746412,0.167772,0.076774,0.874214,0.298396,0.286756,0.314459,0.069133,2023,2021-06-11T21:55:49Z
community_area,1,37.2036,55628,0.180752,0.084225,0.893256,0.226271,0.248418,0.400733,0.06867,2023,2021-06-11T21:55:49Z
community_area,2,74.4091,77122,0.174362,0.140185,0.883769,0.198478,0.13594,0.36581,0.256931,2023,2021-06-11T21:55:49Z
community_area,3,39.086,57182,0.206919,0.084827,0.877278,0.132682,0.188871,0.522385,0.108111,2023,2021-06-11T21:55:49Z
community_area,4,46.2894,40494,0.096293,0.074326,0.931978,0.174569,0.039537,0.625821,0.111523,2023,2021-06-11T21:55:49Z
community_area,5,44.5889,35114,0.046786,0.018751,0.948248,0.128239,0.022213,0.734721,0.061571,2023,2021-06-11T21:55:49Z
community_area,6,68.2869,103050,0.081317,0.023447,0.932213,0.090636,0.038011,0.748501,0.074886,2023,2021-06-11T21:55:49Z
community_area,7,62.2059,70492,0.083805,0.025705,0.927983,0.069909,0.041068,0.771407,0.073327,2023,2021-06-11T21:55:49Z
community_area,8,60.6823,105481,0.100024,0.030139,0.909085,0.062447,0.081304,0.701264,0.116732,2023,2021-06-11T21:55:49Z
community_area,9,27.0873,11525,0.069289,0.023271,0.889082,0.107505,0.00538,0.827592,0.026725,2023,2021-06-11T21:55:49Z
community_area,10,94.0741,38327,0.063156,0.062259,0.892962,0.163018,0.009471,0.736296,0.058236,2023,2021-06-11T21:55:49Z
community_area,11,48.5818,26216,0.060193,0.089528,0.869712,0.241265,0.01644,0.601427,0.104173,2023,2021-06-11T21:55:49Z
community_area,12,58.9443,19596,0.04338,0.036028,0.940142,0.135079,0.010614,0.683201,0.126352,2023,2021-06-11T21:55:49Z
community_area,13,30.5329,17559,0.164788,0.138648,0.903813,0.190899,0.042314,0.454069,0.269662,2023,2021-06-11T21:55:49Z
community_area,14,43.7334,48396,0.136163,0.171909,0.866485,0.468799,0.044797,0.301843,0.145363,2023,2021-06-11T21:55:49Z
community_area,15,88.321,63020,0.09697,0.116603,0.888813,0.438496,0.021866,0.452174,0.055966,2023,2021-06-11T21:55:49Z
community_area,16,68.6472,51940,0.104919,0.082523,0.902118,0.413323,0.037447,0.426742,0.08092,2023,2021-06-11T21:55:49Z
community_area,17,74.5508,43147,0.087553,0.138808,0.846187,0.348576,0.018912,0.558787,0.049621,2023,2021-06-11T21:55:49Z
