geo_type,geo_id,geo_name,period,metric,value,n,flags
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,close_le7_share_chg_pts,0.1,76920,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,close_le7_share_chgcls,0,76920,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,close_le7_share_vscity_pts,0.0,76920,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,fill_per_mi_chg_pct,-18.0,90077,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,fill_per_mi_chgcls,0,90077,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,fill_per_mi_vscity_pct,0.0,90077,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,rpt_per_mi_chg_pct,-7.2,76054,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,rpt_per_mi_chgcls,0,76054,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2020-2022_CY2023-2025,rpt_per_mi_vscity_pct,0.0,76054,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,close_le7_share_chg_pts,-13.6,20911,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,close_le7_share_chgcls,0,20911,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,close_le7_share_vscity_pts,0.0,20911,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,fill_per_mi_chg_pct,-22.2,25432,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,fill_per_mi_chgcls,0,25432,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,fill_per_mi_vscity_pct,0.0,25432,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,rpt_per_mi_chg_pct,-24.9,20679,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,rpt_per_mi_chgcls,0,20679,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_CY2024_CY2025,rpt_per_mi_vscity_pct,0.0,20679,CHANGE_UNCLEAR
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,close_le7_share_chg_pts,3.9,17169,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,close_le7_share_chgcls,0,17169,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,close_le7_share_vscity_pts,0.0,17169,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,fill_per_mi_chg_pct,32.4,19153,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,fill_per_mi_chgcls,0,19153,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,fill_per_mi_vscity_pct,0.0,19153,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,rpt_per_mi_chg_pct,48.9,16982,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,rpt_per_mi_chgcls,0,16982,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CHG_YTD2025-08_YTD2026-08,rpt_per_mi_vscity_pct,0.0,16982,CHANGE_UNCLEAR|YTD
city,CHI,Chicago,CY2019,alley_close_le7_share,0.1424,7877,TRANSITION_2019
city,CHI,Chicago,CY2019,alley_close_p50_d,62.8,7877,TRANSITION_2019
city,CHI,Chicago,CY2019,alley_rpt_n,7877,7877,TRANSITION_2019
city,CHI,Chicago,CY2019,close_le7_share,0.2535,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,close_le7_share__alderman,0.2738,5960,TRANSITION_2019
city,CHI,Chicago,CY2019,close_le7_share__arterial,0.2620,10434,TRANSITION_2019
city,CHI,Chicago,CY2019,close_le7_share__local,0.2500,28904,TRANSITION_2019
city,CHI,Chicago,CY2019,close_le7_share__resident,0.2502,36575,TRANSITION_2019
city,CHI,Chicago,CY2019,close_open_share,0.0000,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,close_p50_d,25.0,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,close_p50_d__alderman,24.2,5960,TRANSITION_2019
city,CHI,Chicago,CY2019,close_p50_d__arterial,22.9,10434,TRANSITION_2019
city,CHI,Chicago,CY2019,close_p50_d__local,25.6,28904,TRANSITION_2019
city,CHI,Chicago,CY2019,close_p50_d__resident,25.0,36575,TRANSITION_2019
city,CHI,Chicago,CY2019,close_p90_d,153.9,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,crew_n,3325,3325,TRANSITION_2019
city,CHI,Chicago,CY2019,crew_per_mi,0.84,3318,TRANSITION_2019
city,CHI,Chicago,CY2019,fill_crew_share,0.1017,30579,TRANSITION_2019
city,CHI,Chicago,CY2019,fill_demand_share,0.8503,30579,TRANSITION_2019
city,CHI,Chicago,CY2019,fill_extreme_share,0.0344,30579,TRANSITION_2019
city,CHI,Chicago,CY2019,fill_n,434689,30579,TRANSITION_2019
city,CHI,Chicago,CY2019,fill_per_mi,109.64,30462,TRANSITION_2019
city,CHI,Chicago,CY2019,fill_per_rpt,10.22,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,fill_unlinked_share,0.0409,30579,TRANSITION_2019
city,CHI,Chicago,CY2019,fill_wo_n,30579,30579,TRANSITION_2019
city,CHI,Chicago,CY2019,patch_p50_d,20.1,29691,TRANSITION_2019
city,CHI,Chicago,CY2019,patch_p90_d,130.8,29691,TRANSITION_2019
city,CHI,Chicago,CY2019,rpt_alder_share,0.1401,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,rpt_all_n,79902,79902,TRANSITION_2019
city,CHI,Chicago,CY2019,rpt_digital_share,0.4717,36575,TRANSITION_2019
city,CHI,Chicago,CY2019,rpt_dup_share,0.4677,79902,TRANSITION_2019
city,CHI,Chicago,CY2019,rpt_n,42535,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,rpt_patched_share,0.6980,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,rpt_per_1k,15.49,42535,TRANSITION_2019
city,CHI,Chicago,CY2019,rpt_per_mi,10.72,42360,TRANSITION_2019
city,CHI,Chicago,CY2019,staff_n,169,169,TRANSITION_2019
city,CHI,Chicago,CY2020,alley_close_le7_share,0.4133,5712,
city,CHI,Chicago,CY2020,alley_close_p50_d,11.0,5712,
city,CHI,Chicago,CY2020,alley_rpt_n,5712,5712,
city,CHI,Chicago,CY2020,close_le7_share,0.5320,24002,
city,CHI,Chicago,CY2020,close_le7_share__alderman,0.5415,3629,
city,CHI,Chicago,CY2020,close_le7_share__arterial,0.5072,5554,
city,CHI,Chicago,CY2020,close_le7_share__local,0.5441,17067,
city,CHI,Chicago,CY2020,close_le7_share__resident,0.5304,20373,
city,CHI,Chicago,CY2020,close_open_share,0.0000,24002,
city,CHI,Chicago,CY2020,close_p50_d,6.2,24002,
city,CHI,Chicago,CY2020,close_p50_d__alderman,6.2,3629,
city,CHI,Chicago,CY2020,close_p50_d__arterial,6.9,5554,
city,CHI,Chicago,CY2020,close_p50_d__local,6.0,17067,
city,CHI,Chicago,CY2020,close_p50_d__resident,6.2,20373,
city,CHI,Chicago,CY2020,close_p90_d,65.2,24002,
city,CHI,Chicago,CY2020,crew_n,9149,9149,
city,CHI,Chicago,CY2020,crew_per_mi,2.31,9136,
city,CHI,Chicago,CY2020,fill_crew_share,0.2986,31795,
city,CHI,Chicago,CY2020,fill_demand_share,0.6665,31795,
city,CHI,Chicago,CY2020,fill_extreme_share,0.0101,31795,
city,CHI,Chicago,CY2020,fill_n,371877,31795,
city,CHI,Chicago,CY2020,fill_per_mi,93.94,31704,
city,CHI,Chicago,CY2020,fill_per_rpt,15.49,24002,
city,CHI,Chicago,CY2020,fill_unlinked_share,0.0321,31795,
city,CHI,Chicago,CY2020,fill_wo_n,31795,31795,
city,CHI,Chicago,CY2020,patch_p50_d,5.7,18241,
city,CHI,Chicago,CY2020,patch_p90_d,48.7,18241,
city,CHI,Chicago,CY2020,rpt_alder_share,0.1512,24002,
city,CHI,Chicago,CY2020,rpt_all_n,30598,30598,
city,CHI,Chicago,CY2020,rpt_digital_share,0.6152,20373,
city,CHI,Chicago,CY2020,rpt_dup_share,0.2156,30598,
city,CHI,Chicago,CY2020,rpt_n,24002,24002,
city,CHI,Chicago,CY2020,rpt_patched_share,0.7600,24002,
city,CHI,Chicago,CY2020,rpt_per_1k,8.74,24002,
city,CHI,Chicago,CY2020,rpt_per_mi,6.06,23920,
city,CHI,Chicago,CY2020,rpt_yoy_pct,,42535,TRANSITION_2019
city,CHI,Chicago,CY2020,staff_n,84,84,
city,CHI,Chicago,CY2020-2022,alley_close_le7_share,0.3325,17418,
city,CHI,Chicago,CY2020-2022,alley_close_p50_d,16.7,17418,
city,CHI,Chicago,CY2020-2022,alley_rpt_n,17418,17418,
city,CHI,Chicago,CY2020-2022,close_le7_share,0.4364,82556,
city,CHI,Chicago,CY2020-2022,close_le7_share__alderman,0.4235,13310,
city,CHI,Chicago,CY2020-2022,close_le7_share__arterial,0.4384,19692,
city,CHI,Chicago,CY2020-2022,close_le7_share__local,0.4358,57450,
city,CHI,Chicago,CY2020-2022,close_le7_share__resident,0.4388,69246,
city,CHI,Chicago,CY2020-2022,close_open_share,0.0001,82556,
city,CHI,Chicago,CY2020-2022,close_p50_d,9.0,82556,
city,CHI,Chicago,CY2020-2022,close_p50_d__alderman,9.8,13310,
city,CHI,Chicago,CY2020-2022,close_p50_d__arterial,9.0,19692,
city,CHI,Chicago,CY2020-2022,close_p50_d__local,9.1,57450,
city,CHI,Chicago,CY2020-2022,close_p50_d__resident,9.0,69246,
city,CHI,Chicago,CY2020-2022,close_p90_d,88.0,82556,
city,CHI,Chicago,CY2020-2022,crew_n,27714,27714,
city,CHI,Chicago,CY2020-2022,crew_per_mi,2.33,27660,
city,CHI,Chicago,CY2020-2022,fill_crew_share,0.2770,96352,
city,CHI,Chicago,CY2020-2022,fill_demand_share,0.6915,96352,
city,CHI,Chicago,CY2020-2022,fill_extreme_share,0.0161,96352,
city,CHI,Chicago,CY2020-2022,fill_n,1136738,96352,
city,CHI,Chicago,CY2020-2022,fill_per_mi,95.55,95930,
city,CHI,Chicago,CY2020-2022,fill_per_rpt,13.77,82556,
city,CHI,Chicago,CY2020-2022,fill_unlinked_share,0.0228,96352,
city,CHI,Chicago,CY2020-2022,fill_wo_n,96352,96352,
city,CHI,Chicago,CY2020-2022,patch_p50_d,7.8,63291,
city,CHI,Chicago,CY2020-2022,patch_p90_d,75.1,63291,
city,CHI,Chicago,CY2020-2022,rpt_alder_share,0.1612,82556,
city,CHI,Chicago,CY2020-2022,rpt_all_n,113143,113143,
city,CHI,Chicago,CY2020-2022,rpt_digital_share,0.6485,69246,
city,CHI,Chicago,CY2020-2022,rpt_dup_share,0.2703,113143,
city,CHI,Chicago,CY2020-2022,rpt_n,82556,82556,
city,CHI,Chicago,CY2020-2022,rpt_patched_share,0.7667,82545,
city,CHI,Chicago,CY2020-2022,rpt_per_1k,10.02,82556,
city,CHI,Chicago,CY2020-2022,rpt_per_mi,6.92,81974,
city,CHI,Chicago,CY2020-2022,staff_n,819,819,
city,CHI,Chicago,CY2020-2025,alley_close_le7_share,0.3045,36051,
city,CHI,Chicago,CY2020-2025,alley_close_p50_d,19.1,36051,
city,CHI,Chicago,CY2020-2025,alley_rpt_n,36051,36051,
city,CHI,Chicago,CY2020-2025,close_le7_share,0.4370,159476,
city,CHI,Chicago,CY2020-2025,close_le7_share__alderman,0.4041,24595,
city,CHI,Chicago,CY2020-2025,close_le7_share__arterial,0.4498,38742,
city,CHI,Chicago,CY2020-2025,close_le7_share__local,0.4313,107516,
city,CHI,Chicago,CY2020-2025,close_le7_share__resident,0.4430,134881,
city,CHI,Chicago,CY2020-2025,close_open_share,0.0015,159476,
city,CHI,Chicago,CY2020-2025,close_p50_d,9.0,159476,
city,CHI,Chicago,CY2020-2025,close_p50_d__alderman,10.8,24595,
city,CHI,Chicago,CY2020-2025,close_p50_d__arterial,8.6,38742,
city,CHI,Chicago,CY2020-2025,close_p50_d__local,9.2,107516,
city,CHI,Chicago,CY2020-2025,close_p50_d__resident,8.9,134881,
city,CHI,Chicago,CY2020-2025,close_p90_d,95.9,159476,
city,CHI,Chicago,CY2020-2025,crew_n,59109,59109,
city,CHI,Chicago,CY2020-2025,crew_per_mi,2.49,58917,
city,CHI,Chicago,CY2020-2025,fill_crew_share,0.3027,187132,
city,CHI,Chicago,CY2020-2025,fill_demand_share,0.6697,187132,
city,CHI,Chicago,CY2020-2025,fill_extreme_share,0.0120,187132,
city,CHI,Chicago,CY2020-2025,fill_n,2071029,187132,
city,CHI,Chicago,CY2020-2025,fill_per_mi,86.96,186007,
city,CHI,Chicago,CY2020-2025,fill_per_rpt,12.99,159476,
city,CHI,Chicago,CY2020-2025,fill_unlinked_share,0.0199,187132,
city,CHI,Chicago,CY2020-2025,fill_wo_n,187132,187132,
city,CHI,Chicago,CY2020-2025,patch_p50_d,7.8,121522,
city,CHI,Chicago,CY2020-2025,patch_p90_d,80.9,121522,
city,CHI,Chicago,CY2020-2025,rpt_alder_share,0.1542,159476,
city,CHI,Chicago,CY2020-2025,rpt_all_n,224229,224229,
city,CHI,Chicago,CY2020-2025,rpt_digital_share,0.6739,134881,
city,CHI,Chicago,CY2020-2025,rpt_dup_share,0.2888,224229,
city,CHI,Chicago,CY2020-2025,rpt_n,159476,159476,
city,CHI,Chicago,CY2020-2025,rpt_patched_share,0.7631,159242,
city,CHI,Chicago,CY2020-2025,rpt_per_1k,9.68,159476,
city,CHI,Chicago,CY2020-2025,rpt_per_mi,6.67,158028,
city,CHI,Chicago,CY2020-2025,staff_n,1583,1583,
city,CHI,Chicago,CY2021,alley_close_le7_share,0.3175,4973,
city,CHI,Chicago,CY2021,alley_close_p50_d,26.2,4973,
city,CHI,Chicago,CY2021,alley_rpt_n,4973,4973,
city,CHI,Chicago,CY2021,close_le7_share,0.4434,22707,
city,CHI,Chicago,CY2021,close_le7_share__alderman,0.4430,3966,
city,CHI,Chicago,CY2021,close_le7_share__arterial,0.4478,5250,
city,CHI,Chicago,CY2021,close_le7_share__local,0.4418,15995,
city,CHI,Chicago,CY2021,close_le7_share__resident,0.4435,18741,
city,CHI,Chicago,CY2021,close_open_share,0.0001,22707,
city,CHI,Chicago,CY2021,close_p50_d,10.1,22707,
city,CHI,Chicago,CY2021,close_p50_d__alderman,9.2,3966,
city,CHI,Chicago,CY2021,close_p50_d__arterial,9.7,5250,
city,CHI,Chicago,CY2021,close_p50_d__local,10.7,15995,
city,CHI,Chicago,CY2021,close_p50_d__resident,10.6,18741,
city,CHI,Chicago,CY2021,close_p90_d,125.9,22707,
city,CHI,Chicago,CY2021,crew_n,8874,8874,
city,CHI,Chicago,CY2021,crew_per_mi,2.24,8864,
city,CHI,Chicago,CY2021,fill_crew_share,0.3330,24908,
city,CHI,Chicago,CY2021,fill_demand_share,0.6325,24908,
city,CHI,Chicago,CY2021,fill_extreme_share,0.0238,24908,
city,CHI,Chicago,CY2021,fill_n,274918,24908,
city,CHI,Chicago,CY2021,fill_per_mi,69.41,24822,
city,CHI,Chicago,CY2021,fill_per_rpt,12.11,22707,
city,CHI,Chicago,CY2021,fill_unlinked_share,0.0183,24908,
city,CHI,Chicago,CY2021,fill_wo_n,24908,24908,
city,CHI,Chicago,CY2021,patch_p50_d,7.3,17430,
city,CHI,Chicago,CY2021,patch_p90_d,112.8,17430,
city,CHI,Chicago,CY2021,rpt_alder_share,0.1747,22707,
city,CHI,Chicago,CY2021,rpt_all_n,29121,29121,
city,CHI,Chicago,CY2021,rpt_digital_share,0.6433,18741,
city,CHI,Chicago,CY2021,rpt_dup_share,0.2203,29121,
city,CHI,Chicago,CY2021,rpt_n,22707,22707,
city,CHI,Chicago,CY2021,rpt_patched_share,0.7677,22704,
city,CHI,Chicago,CY2021,rpt_per_1k,8.27,22707,
city,CHI,Chicago,CY2021,rpt_per_mi,5.71,22540,
city,CHI,Chicago,CY2021,rpt_yoy_pct,-5.4,24002,
city,CHI,Chicago,CY2021,staff_n,396,396,
city,CHI,Chicago,CY2022,alley_close_le7_share,0.2749,6733,
city,CHI,Chicago,CY2022,alley_close_p50_d,18.9,6733,
city,CHI,Chicago,CY2022,alley_rpt_n,6733,6733,
city,CHI,Chicago,CY2022,close_le7_share,0.3678,35847,
city,CHI,Chicago,CY2022,close_le7_share__alderman,0.3351,5715,
city,CHI,Chicago,CY2022,close_le7_share__arterial,0.3897,8888,
city,CHI,Chicago,CY2022,close_le7_share__local,0.3560,24388,
