ward2023,period,ward2015,share_of_rpt_n
1,CY2019,1,0.7465
1,CY2019,2,0.2061
1,CY2019,32,0.0463
1,CY2019,27,0.0011
1,CY2019-2025,1,0.7733
1,CY2019-2025,2,0.1636
1,CY2019-2025,32,0.0627
1,CY2019-2025,27,0.0005
1,CY2020,1,0.6860
1,CY2020,2,0.1921
1,CY2020,32,0.1219
1,CY2020-2022,1,0.7731
1,CY2020-2022,2,0.1485
1,CY2020-2022,32,0.0785
1,CY2021,1,0.7888
1,CY2021,2,0.1531
1,CY2021,32,0.0581
1,CY2022,1,0.8067
1,CY2022,2,0.1252
1,CY2022,32,0.0680
1,CY2023,1,0.7917
1,CY2023,2,0.1552
1,CY2023,32,0.0530
1,CY2023-2025,1,0.7911
1,CY2023-2025,2,0.1464
1,CY2023-2025,32,0.0621
1,CY2023-2025,27,0.0004
1,YTD2019-08,1,0.7289
1,YTD2019-08,2,0.2240
1,YTD2019-08,32,0.0457
1,YTD2019-08,27,0.0013
1,YTD2020-08,1,0.6907
1,YTD2020-08,2,0.1881
1,YTD2020-08,32,0.1211
1,YTD2021-08,1,0.7989
1,YTD2021-08,2,0.1448
1,YTD2021-08,32,0.0563
1,YTD2022-08,1,0.8134
1,YTD2022-08,2,0.1241
1,YTD2022-08,32,0.0626
1,YTD2023-08,1,0.7839
1,YTD2023-08,2,0.1624
1,YTD2023-08,32,0.0537
2,CY2019,2,0.7794
2,CY2019,42,0.1296
2,CY2019,43,0.0460
2,CY2019,27,0.0450
2,CY2019-2025,2,0.7628
2,CY2019-2025,42,0.1661
2,CY2019-2025,27,0.0379
2,CY2019-2025,43,0.0332
2,CY2020,2,0.7260
2,CY2020,42,0.1712
2,CY2020,43,0.0719
2,CY2020,27,0.0308
2,CY2020-2022,2,0.7448
2,CY2020-2022,42,0.1812
2,CY2020-2022,27,0.0378
2,CY2020-2022,43,0.0362
2,CY2021,2,0.7288
2,CY2021,42,0.1797
2,CY2021,27,0.0556
2,CY2021,43,0.0359
2,CY2022,2,0.7597
2,CY2022,42,0.1860
2,CY2022,27,0.0329
2,CY2022,43,0.0215
2,CY2023,2,0.7039
2,CY2023,42,0.2312
2,CY2023,27,0.0467
2,CY2023,43,0.0183
2,CY2023-2025,2,0.7684
2,CY2023-2025,42,0.1763
2,CY2023-2025,27,0.0333
2,CY2023-2025,43,0.0220
2,YTD2019-08,2,0.7833
2,YTD2019-08,42,0.1416
2,YTD2019-08,27,0.0419
2,YTD2019-08,43,0.0333
2,YTD2020-08,2,0.7301
2,YTD2020-08,42,0.1681
2,YTD2020-08,43,0.0708
2,YTD2020-08,27,0.0310
2,YTD2021-08,2,0.7799
2,YTD2021-08,42,0.1435
2,YTD2021-08,43,0.0478
2,YTD2021-08,27,0.0287
2,YTD2022-08,2,0.7735
2,YTD2022-08,42,0.1695
2,YTD2022-08,27,0.0352
2,YTD2022-08,43,0.0218
2,YTD2023-08,2,0.7090
2,YTD2023-08,42,0.2189
2,YTD2023-08,27,0.0498
2,YTD2023-08,43,0.0224
3,CY2019,3,0.9827
3,CY2019,4,0.0104
3,CY2019,25,0.0069
3,CY2019-2025,3,0.9800
3,CY2019-2025,25,0.0118
3,CY2019-2025,4,0.0083
3,CY2020,3,0.9856
3,CY2020,4,0.0096
3,CY2020,25,0.0048
3,CY2020-2022,3,0.9831
3,CY2020-2022,25,0.0104
3,CY2020-2022,4,0.0065
3,CY2021,3,0.9821
3,CY2021,25,0.0134
3,CY2021,4,0.0045
3,CY2022,3,0.9822
3,CY2022,25,0.0119
3,CY2022,4,0.0059
3,CY2023,3,0.9808
3,CY2023,25,0.0128
3,CY2023,4,0.0064
3,CY2023-2025,3,0.9757
3,CY2023-2025,25,0.0158
3,CY2023-2025,4,0.0084
3,YTD2019-08,3,0.9791
3,YTD2019-08,4,0.0125
3,YTD2019-08,25,0.0084
3,YTD2020-08,3,0.9875
3,YTD2020-08,4,0.0063
3,YTD2020-08,25,0.0063
3,YTD2021-08,3,0.9825
3,YTD2021-08,25,0.0117
3,YTD2021-08,4,0.0058
3,YTD2022-08,3,0.9891
3,YTD2022-08,25,0.0109
3,YTD2023-08,3,0.9806
3,YTD2023-08,25,0.0155
3,YTD2023-08,4,0.0039
4,CY2019,4,0.9764
4,CY2019,42,0.0180
4,CY2019,3,0.0056
4,CY2019-2025,4,0.9755
