geo_id,geo_name,period,rpt_n,rpt_n_n,rpt_n_flags,rpt_per_mi,rpt_per_mi_n,rpt_per_mi_flags,close_p50_d,close_p50_d_n,close_p50_d_flags,rpt_patched_share,rpt_patched_share_n,rpt_patched_share_flags,fill_per_mi,fill_per_mi_n,fill_per_mi_flags
1,Ward 1,CY2025,438,438,,7.31,429,,24.0,438,,0.7968,438,,57.68,432,
2,Ward 2,CY2025,245,245,,8.10,232,,16.0,245,,0.6667,243,,56.22,263,
3,Ward 3,CY2025,195,195,,2.75,191,,20.0,195,,0.6051,195,,48.11,352,
4,Ward 4,CY2025,258,258,,3.54,251,,13.0,258,,0.5430,256,,46.24,308,
5,Ward 5,CY2025,334,334,,4.87,332,,16.4,334,,0.5753,332,,72.80,363,
6,Ward 6,CY2025,328,328,,3.14,323,,7.0,328,,0.7439,328,,54.63,454,
7,Ward 7,CY2025,371,371,,4.05,368,,7.8,371,,0.7224,371,,70.00,482,
8,Ward 8,CY2025,385,385,,3.21,379,,8.0,385,,0.6494,385,,75.09,625,
9,Ward 9,CY2025,376,376,,2.73,372,,6.9,376,,0.7067,375,,78.13,825,
10,Ward 10,CY2025,551,551,,4.00,546,,6.0,551,,0.6982,550,,56.29,597,
11,Ward 11,CY2025,397,397,,5.01,388,,14.0,397,,0.6995,396,,69.07,538,
12,Ward 12,CY2025,407,407,,5.87,396,,13.0,407,,0.7322,407,,83.08,438,
13,Ward 13,CY2025,566,566,,5.88,566,,11.9,566,,0.7544,566,,54.62,631,
14,Ward 14,CY2025,321,321,,4.54,313,,8.9,321,,0.7750,320,,68.56,481,
15,Ward 15,CY2025,325,325,,5.18,325,,12.7,325,,0.7508,325,,71.33,382,
16,Ward 16,CY2025,369,369,,3.66,369,,15.2,369,,0.6748,369,,47.04,479,
17,Ward 17,CY2025,313,313,,3.25,313,,6.0,313,,0.6955,312,,60.51,466,
18,Ward 18,CY2025,742,742,,6.04,742,,7.8,742,,0.7049,742,,105.58,945,
19,Ward 19,CY2025,634,634,,4.58,634,,6.9,634,,,624,COHORT_OPEN,83.74,967,
20,Ward 20,CY2025,280,280,,2.95,280,,19.9,280,,0.6272,279,,48.62,414,
21,Ward 21,CY2025,499,499,,3.18,495,,6.2,499,,0.6600,497,,69.85,674,
22,Ward 22,CY2025,275,275,,4.67,270,,15.0,275,,,264,COHORT_OPEN,46.12,330,
23,Ward 23,CY2025,478,478,,5.74,478,,7.3,478,,,473,COHORT_OPEN,69.64,528,
24,Ward 24,CY2025,256,256,,3.03,249,,67.5,256,,0.5490,255,,25.27,243,
25,Ward 25,CY2025,224,224,,3.64,220,,41.5,224,,0.5964,223,,32.70,344,
26,Ward 26,CY2025,286,286,,4.80,286,,60.4,286,,0.7343,286,,31.59,255,
27,Ward 27,CY2025,582,582,,4.65,562,,40.7,582,,0.6048,582,,29.77,591,
28,Ward 28,CY2025,571,571,,5.16,559,,36.6,571,,0.6074,568,,37.07,559,
29,Ward 29,CY2025,329,329,,4.18,326,,45.5,329,,0.6018,329,,35.63,328,
30,Ward 30,CY2025,519,519,,6.81,518,,21.6,519,,0.8008,517,,61.31,628,
31,Ward 31,CY2025,352,352,,5.90,352,,37.0,352,,0.7955,352,,52.21,431,
32,Ward 32,CY2025,570,570,,8.13,558,,28.8,570,,0.6719,570,,65.31,565,
33,Ward 33,CY2025,420,420,,8.63,420,,50.0,420,,0.6095,420,,63.87,426,
34,Ward 34,CY2025,227,227,,6.65,217,,9.7,227,,0.5531,226,,30.69,263,
35,Ward 35,CY2025,327,327,,5.31,320,,46.0,327,,0.7346,324,,64.50,521,
36,Ward 36,CY2025,437,437,,6.63,437,,42.7,437,,0.7742,434,,58.72,519,
37,Ward 37,CY2025,330,330,,4.68,330,,43.9,330,,0.6789,327,,40.90,339,
38,Ward 38,CY2025,428,428,,4.27,428,,42.5,428,,,418,COHORT_OPEN,44.09,606,
39,Ward 39,CY2025,806,806,,7.58,797,,24.8,806,,0.6957,805,,73.57,837,
40,Ward 40,CY2025,577,577,,9.27,577,,6.1,577,,0.8188,574,,85.69,621,
41,Ward 41,CY2025,711,711,,5.56,705,,40.4,711,,,698,COHORT_OPEN,79.86,950,
42,Ward 42,CY2025,400,400,,9.65,390,,6.1,400,,0.5539,399,,62.21,567,
43,Ward 43,CY2025,512,512,,11.07,502,,6.9,512,,0.8141,511,,115.45,565,
44,Ward 44,CY2025,223,223,,6.32,221,,9.7,223,,,220,COHORT_OPEN,52.52,256,
45,Ward 45,CY2025,591,591,,5.41,574,,56.1,591,,,576,COHORT_OPEN,57.93,764,
46,Ward 46,CY2025,244,244,,7.21,240,,11.8,244,,,241,COHORT_OPEN,77.89,285,
47,Ward 47,CY2025,731,731,,11.38,731,,6.1,731,,0.8283,728,,97.19,747,
48,Ward 48,CY2025,321,321,,10.00,319,,10.7,321,,0.7390,318,,81.36,312,
49,Ward 49,CY2025,323,323,,8.92,323,,7.0,323,,,317,COHORT_OPEN,102.30,400,
50,Ward 50,CY2025,385,385,,6.70,385,,7.1,385,,,379,COHORT_OPEN,68.95,418,
