winter,variant,value,rank
W2019,harshness,0.96,1
W2020,harshness,-0.14,3
W2021,harshness,-0.38,5
W2022,harshness,-0.23,4
W2023,harshness,-0.72,6
W2024,harshness,-0.95,8
W2025,harshness,-0.77,7
W2026,harshness,-0.11,2
W2019,wet_ft_days_only,1.48,1
W2020,wet_ft_days_only,1.34,2
W2021,wet_ft_days_only,-0.29,3
W2022,wet_ft_days_only,-0.43,4
W2023,wet_ft_days_only,-0.83,5
W2024,wet_ft_days_only,-1.24,6
W2025,wet_ft_days_only,-1.38,7
W2026,wet_ft_days_only,-1.38,7
W2019,fdd_only,0.27,1
W2020,fdd_only,-1.32,7
W2021,fdd_only,-0.60,5
W2022,fdd_only,-0.39,4
W2023,fdd_only,-1.06,6
W2024,fdd_only,-1.58,8
W2025,fdd_only,-0.12,3
W2026,fdd_only,0.12,2
W2019,prcp_in_only,1.31,1
W2020,prcp_in_only,-0.06,6
W2021,prcp_in_only,-1.36,8
W2022,prcp_in_only,0.25,3
W2023,prcp_in_only,0.20,4
W2024,prcp_in_only,0.14,5
W2025,prcp_in_only,-0.22,7
W2026,prcp_in_only,1.09,2
W2019,snow_in_only,0.77,1
W2020,snow_in_only,-0.53,5
W2021,snow_in_only,0.72,2
W2022,snow_in_only,-0.35,4
W2023,snow_in_only,-1.20,7
W2024,snow_in_only,-1.13,6
W2025,snow_in_only,-1.37,8
W2026,snow_in_only,-0.27,3
W2019,ft_days_for_wet_ft,0.87,1
W2020,ft_days_for_wet_ft,-0.31,3
W2021,ft_days_for_wet_ft,-0.49,5
W2022,ft_days_for_wet_ft,-0.25,2
W2023,ft_days_for_wet_ft,-0.75,6
W2024,ft_days_for_wet_ft,-0.77,7
W2025,ft_days_for_wet_ft,-1.14,8
W2026,ft_days_for_wet_ft,-0.32,4
W2019,wet_ft_double,1.06,1
W2020,wet_ft_double,0.15,2
W2021,wet_ft_double,-0.36,5
W2022,wet_ft_double,-0.27,3
W2023,wet_ft_double,-0.74,6
W2024,wet_ft_double,-1.01,8
W2025,wet_ft_double,-0.89,7
W2026,wet_ft_double,-0.36,4
